timestamp,time_elapsed,model_type,model_timestamp,classes,imaging_date,tray,filename,conserved_identifier,USDA_number,CHUM_number_if_from_NCGR,other_name,PM,infected_threshold,healthy_threshold,sal_threshold,inf_gate,spor_th,leaf_mask_th,clear_patches,hyphal_patches,conidiophore_patches,sporulating_pct,discarded_patches,severity_rate_patch,Gradient_sr2,Gradient-SG_sr2,GradCAM_sr2
NA,0m 31s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,234-W2021006-607_R2,W2021006-607,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,609,26,8,1.244167962674961,9,5.29,NA,0.16,0.69
NA,0m 35s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,235-Galena_R2,Galena,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,493,53,68,11.074918566775244,31,19.71,NA,0.57,2.29
NA,0m 35s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,236-Galena_R2,Galena,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,545,61,22,3.5031847133757963,27,13.22,NA,0.4,1.58
NA,0m 39s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,237-Galena_R2,Galena,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,453,148,41,6.386292834890965,40,29.44,NA,0.85,3.53
NA,0m 36s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,238-19040_R2,19040,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,614,71,7,1.0115606936416186,28,11.27,NA,0.35,1.46
NA,0m 34s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,239-19040_R2,19040,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,661,23,5,0.7256894049346879,17,4.06,NA,0.12,0.46
NA,0m 32s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,240-19040_R2,19040,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,712,6,0,0,8,0.84,NA,0.03,0.09
NA,0m 55s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,241-W2021006-132_R2,W2021006-132,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,75,191,431,61.83644189383071,14,89.24,NA,2.88,12.27
NA,0m 58s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,242-W2021006-132_R2,W2021006-132,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,5,66,626,89.81348637015782,2,99.28,NA,3.33,14.25
NA,1m 0s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,243-W2021006-132_R2,W2021006-132,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,25,97,605,83.21870701513068,11,96.56,NA,3.2,13.63
