filename,stem,run_time,model_type,model_timestamp,epoch,rel_th,prob_th,min_area,step,batch_size,leaf_patch_min,pred_white_pixels,leaf_pixels,total_pixels,pct_infected_of_leaf,pct_infected_of_image,mask_path
097-W2021006-617_R2.png,097-W2021006-617_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1068081,36394189,45413508,2.9348,2.3519,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\097-W2021006-617_R2_leaf_pred.png
097-W2021009-163_R1.png,097-W2021009-163_R1,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1066268,35756447,45413508,2.982,2.3479,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\097-W2021009-163_R1_leaf_pred.png
099-W2021006-611_R2.png,099-W2021006-611_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1334277,37747790,45413508,3.5347,2.9381,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\099-W2021006-611_R2_leaf_pred.png
101-W2021011-565_R1.png,101-W2021011-565_R1,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,3087895,38176446,45413508,8.0885,6.7995,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\101-W2021011-565_R1_leaf_pred.png
105-W2021011-558_R1.png,105-W2021011-558_R1,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,748681,33770038,45413508,2.217,1.6486,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\105-W2021011-558_R1_leaf_pred.png
110-W2021011-454_R2.png,110-W2021011-454_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,564825,37633353,45413508,1.5009,1.2437,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\110-W2021011-454_R2_leaf_pred.png
111-W2021011-588_R2.png,111-W2021011-588_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,627266,36539267,45413508,1.7167,1.3812,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\111-W2021011-588_R2_leaf_pred.png
121-W2021009-185_R1.png,121-W2021009-185_R1,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,708046,32409791,45413508,2.1847,1.5591,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\121-W2021009-185_R1_leaf_pred.png
123-W2021009-255_R2.png,123-W2021009-255_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,640786,37451564,45413508,1.711,1.411,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\123-W2021009-255_R2_leaf_pred.png
123-W2021009-621_R2.png,123-W2021009-621_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,521809,35890599,45413508,1.4539,1.149,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\123-W2021009-621_R2_leaf_pred.png
