filename,run_time,model_type,model_timestamp,epoch,rel_th,prob_th,min_area,step,batch_size,leaf_patch_min,pred_white_pixels,leaf_pixels,total_pixels,pct_infected_of_leaf,pct_infected_of_image,mask_path
103-W2021011-591_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,2527074,35102246,45413508,7.1992,5.5646,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\103-W2021011-591_R2_leaf_pred.png
105-W2021010-625_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,2725211,36252637,45413508,7.5173,6.0009,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\105-W2021010-625_R1_leaf_pred.png
106-21326M_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1773198,35443773,45413508,5.0028,3.9046,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\106-21326M_R1_leaf_pred.png
108-W2021011-550_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1732471,36418339,45413508,4.7571,3.8149,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\108-W2021011-550_R2_leaf_pred.png
109-W2021006-102_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,14747470,38045841,45413508,38.7624,32.4738,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\109-W2021006-102_R2_leaf_pred.png
112-W2021006-046_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,2013196,35804919,45413508,5.6227,4.433,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\112-W2021006-046_R1_leaf_pred.png
112-W2021011-554_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,841026,35418003,45413508,2.3746,1.8519,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\112-W2021011-554_R1_leaf_pred.png
115-W2021011-638_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1682241,37623229,45413508,4.4713,3.7043,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\115-W2021011-638_R1_leaf_pred.png
116-W2021011-504_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,3381074,38887453,45413508,8.6945,7.4451,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\116-W2021011-504_R2_leaf_pred.png
117-W2021011-504_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1151677,37843041,45413508,3.0433,2.536,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\117-W2021011-504_R1_leaf_pred.png
119-W2021009-171_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,3336613,37631707,45413508,8.8665,7.3472,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\119-W2021009-171_R2_leaf_pred.png
119-W2021009-299_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,2817821,35573218,45413508,7.9212,6.2048,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\119-W2021009-299_R2_leaf_pred.png
122-W2021009-267_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1043377,37238441,45413508,2.8019,2.2975,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\122-W2021009-267_R2_leaf_pred.png
